player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
JR Pace,10116,S,NWESTERN,12,0,0,256,59.8,0,0,2,0.5,0.0,0,3,0.0,0,429,2,0,0,,0,0,0,0.0,,0,,0,112,0,0
Kamal Martin,12744,LB,MINNESOTA,8,0,0,225,67.2,3,2,27,11.2,11.1,3,0,16.7,2,258,29,7,0,65.4,1,0,12,15.2,8.3,1,20.8,2,92,14,3
Reggie Robinson II,13094,CB,TULSA,12,1,0,320,67.0,0,1,5,1.3,0.0,0,8,10.0,0,388,5,1,1,70.6,0,0,0,0.0,,0,,0,42,0,0
Tanner Karafa,13787,DI,BOSTON COL,13,2,0,121,62.4,3,19,392,100.0,6.1,24,1,3.6,3,405,405,25,0,63.4,2,11,137,100.0,10.2,14,6.9,3,141,141,16
Aaron Roberson,13789,CB,LA TECH,13,0,0,208,56.0,1,0,4,2.5,0.0,0,0,12.5,0,160,4,1,0,57.5,1,0,2,2.5,0.0,0,25.0,0,80,2,1
Hunter Andrews,13808,ED,E MICHIGAN,13,2,0,160,56.1,1,6,181,98.0,3.3,6,0,2.5,1,197,193,8,0,52.4,1,2,50,100.0,4.0,2,3.0,0,55,55,3
Terez Dickerson,13811,LB,DOMINION,10,0,0,263,59.0,0,0,7,12.1,14.3,1,0,0.0,0,66,8,0,0,55.5,0,0,2,20.0,0.0,0,0.0,0,15,3,0
Tyrin Ferguson,13817,ED,NEBRASKA,6,0,0,238,56.5,0,3,21,56.8,9.5,2,0,7.1,0,37,21,3,0,60.2,0,3,8,50.0,12.5,1,18.8,0,16,8,3
Trevon Hill,13821,ED,MIAMI FL,12,1,1,220,73.2,10,11,196,95.4,11.7,23,4,8.4,6,216,206,27,0,69.9,2,7,69,94.7,14.5,10,13.8,5,76,72,14
Adonis Thomas,13851,ED,FLORIDA ST,6,0,0,167,52.0,0,0,64,88.2,1.6,1,0,0.0,0,76,67,0,0,53.5,0,0,30,91.2,3.3,1,0.0,0,34,31,0
Malachi Jean,14041,DI,USF,1,0,0,327,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Chris Richardson,14095,DI,UTEP,11,2,0,330,62.9,1,5,221,100.0,5.0,11,3,1.4,0,233,233,6,2,62.1,0,1,39,100.0,5.1,2,1.3,0,43,43,1
Robert Hayes Jr.,14327,CB,SMU,12,0,0,287,57.2,0,1,1,0.5,0.0,0,2,50.0,0,202,1,1,0,57.2,0,1,1,1.6,0.0,0,50.0,0,61,1,1
Anthony J. Taylor,14471,CB,TEXAS ST,12,0,0,314,59.2,0,0,3,0.9,0.0,0,2,0.0,0,339,3,0,0,,0,0,0,0.0,,0,,0,50,0,0
Ladarian McFarland,14977,LB,UTSA,4,0,0,331,74.2,1,4,12,20.0,16.7,2,2,20.8,0,65,13,5,0,73.3,0,2,5,20.8,40.0,2,20.0,0,24,5,2
Marquis Couch,21749,ED,MARSHALL,13,1,0,214,71.4,7,14,219,70.0,10.0,22,3,5.7,2,337,236,23,1,66.7,2,4,71,87.5,15.5,11,5.6,1,88,77,7
Clay Davis,22969,LB,W KENTUCKY,9,0,0,346,63.6,4,2,35,16.1,5.7,2,1,11.4,1,223,36,7,0,61.3,1,1,11,12.9,9.1,1,9.1,0,85,11,2
Dru Prox,23093,LB,KANSAS,4,0,0,198,60.9,1,1,17,15.7,5.9,1,1,17.6,2,121,19,4,0,63.6,1,0,9,26.5,11.1,1,16.7,1,34,9,2
Tim Washington,23468,LB,MISS STATE,11,0,0,227,53.8,0,2,30,27.7,0.0,0,3,6.7,1,112,31,3,0,58.8,0,1,11,35.3,0.0,0,13.6,1,34,12,2
Dalton Baker,23619,ED,UTAH ST,12,1,0,329,61.8,2,6,95,79.1,7.4,7,0,4.2,0,129,102,8,0,60.7,0,3,26,85.7,11.5,3,5.8,0,35,30,3
