player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
JR Pace,10116,S,NWESTERN,12,1,14.5,31.8,99.5,57.6,18.3,0,0,5,22.7,256,74.7,73.6,56.3,59.8,70.0,51.0,1,22,27.8,5,2,3,41.3,7,427,429,2,12,22,1,87,10,0.2,12.4
Kamal Martin,12744,LB,MINNESOTA,8,2,2.9,73.9,88.8,12.6,9.3,0,0,1,4.3,225,64.0,70.6,84.7,67.2,72.2,58.3,2,13,22.2,4,1,0,80.9,17,229,258,8,12,23,2,135,100,0.6,7.9
Reggie Robinson II,13094,CB,TULSA,12,1,12.0,51.7,98.7,11.2,5.8,0,0,14,23.3,320,68.0,69.0,85.8,67.0,68.8,69.3,4,59,10.3,3,8,8,52.6,31,383,388,5,25,60,1,427,124,1.2,13.8
Jaylan Foster,13095,CB,S CAROLINA,1,0,,,100.0,,,0,0,0,,289,61.0,62.2,71.4,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Aaron Roberson,13789,CB,LA TECH,13,3,11.1,48.3,97.5,10.7,5.2,0,2,5,17.2,208,73.4,73.6,83.4,56.0,70.7,75.6,1,25,5.0,1,4,0,48.9,14,156,160,8,16,29,0,146,67,1.0,10.4
Hunter Andrews,13808,ED,E MICHIGAN,13,2,-6.0,0.0,2.0,,4.0,0,0,0,0.0,160,60.4,66.9,86.9,56.1,71.2,62.9,0,,20.0,1,0,0,39.6,0,4,197,2,2,1,0,0,0,0.0,
Terez Dickerson,13811,LB,DOMINION,10,1,2.3,85.7,87.9,9.2,7.9,0,0,0,0.0,263,59.3,65.1,79.2,59.0,69.2,73.8,0,29,25.0,1,0,0,103.0,6,58,66,1,2,7,0,61,50,1.1,10.2
Tyrin Ferguson,13817,ED,NEBRASKA,6,1,5.3,66.7,43.2,7.0,4.7,0,0,0,0.0,238,46.9,49.0,83.2,56.5,51.9,39.4,0,20,33.3,1,0,0,99.3,2,16,37,1,1,3,0,30,18,2.1,15.0
Trevon Hill,13821,ED,MIAMI FL,12,1,-3.0,100.0,4.6,9.0,9.0,1,0,0,0.0,220,68.7,71.2,10.0,73.2,69.2,62.6,0,-3,33.3,1,0,4,79.2,1,10,216,6,1,1,0,-3,0,-0.3,-3.0
Adonis Thomas,13851,ED,FLORIDA ST,6,0,-2.0,100.0,11.8,9.0,9.0,0,0,0,0.0,167,57.6,57.5,85.1,52.0,64.6,42.6,0,1,50.0,1,0,0,79.2,1,9,76,1,1,1,0,1,3,0.1,1.0
