player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
JR Pace,10116,S,NWESTERN,12,8,0,31.8,0,0,256,0,0,74.7,73.6,56.3,59.8,70.0,51.0,0,0,0,1,22,21.2,11,2,3,41.3,7,0,0,218,10,427,786,5,0,0,5,0,198,781,2,357,355,10,33,0,22,0,1,87,10,12.4
Kamal Martin,12744,LB,MINNESOTA,8,18,0,73.9,0,2,225,0,0,64.0,70.6,84.7,67.2,72.2,58.3,3,2,0,2,13,14.7,10,1,0,80.9,17,2,0,409,1,229,484,19,0,0,19,0,3,465,29,226,50,30,40,1,23,7,2,135,100,7.9
Reggie Robinson II,13094,CB,TULSA,12,7,1,51.7,0,1,320,2,0,68.0,69.0,85.8,67.0,68.8,69.3,0,1,0,4,59,10.4,5,8,8,52.6,31,0,0,93,671,383,800,10,0,0,10,0,0,790,5,412,24,11,36,2,60,1,1,427,124,13.8
Jaylan Foster,13095,CB,S CAROLINA,1,0,0,,0,0,289,0,0,61.0,62.2,71.4,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,0,2,5,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,
Tanner Karafa,13787,DI,BOSTON COL,13,17,2,0.0,0,0,121,2,0,68.7,78.3,73.6,62.4,80.8,57.7,3,19,0,1,,15.6,10,0,1,0.0,0,3,0,1,0,0,776,775,3,632,38,102,0,1,405,371,0,36,37,3,1,25,0,0,0,
Aaron Roberson,13789,CB,LA TECH,13,3,0,48.3,0,0,208,1,0,73.4,73.6,83.4,56.0,70.7,75.6,1,0,0,1,25,7.7,2,4,0,48.9,14,0,0,21,126,156,237,5,0,0,5,0,5,232,4,77,80,11,21,0,29,1,0,146,67,10.4
Hunter Andrews,13808,ED,E MICHIGAN,13,14,2,0.0,0,0,160,0,0,60.4,66.9,86.9,56.1,71.2,62.9,1,6,0,0,,15.0,6,0,0,39.6,0,1,0,0,0,4,435,434,1,46,355,32,0,1,193,238,0,14,20,1,1,8,0,0,0,
Terez Dickerson,13811,LB,DOMINION,10,4,0,85.7,0,0,263,0,0,59.3,65.1,79.2,59.0,69.2,73.8,0,0,0,0,29,10.5,2,0,0,103.0,6,0,0,127,0,58,141,2,0,0,2,0,0,139,8,75,11,8,13,2,7,0,0,61,50,10.2
Tyrin Ferguson,13817,ED,NEBRASKA,6,1,0,66.7,0,0,238,0,0,46.9,49.0,83.2,56.5,51.9,39.4,0,3,0,0,20,28.6,2,0,0,99.3,2,0,0,4,1,16,78,64,0,0,64,0,0,14,21,41,9,3,4,2,3,3,0,30,18,15.0
Trevon Hill,13821,ED,MIAMI FL,12,2,1,100.0,1,0,220,0,0,68.7,71.2,10.0,73.2,69.2,62.6,10,11,0,0,-3,9.5,2,0,4,79.2,1,6,0,1,0,10,365,363,0,0,348,15,0,2,206,149,0,19,17,6,1,27,0,-3,0,-3.0
Adonis Thomas,13851,ED,FLORIDA ST,6,0,0,100.0,0,0,167,0,0,57.6,57.5,85.1,52.0,64.6,42.6,0,0,0,0,1,25.0,1,0,0,79.2,1,0,0,2,2,9,128,119,0,1,117,1,2,9,67,52,3,2,3,0,1,0,0,1,3,1.0
Malachi Jean,14041,DI,USF,2,0,0,,0,0,327,0,0,,53.9,72.8,60.0,55.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,
Chris Richardson,14095,DI,UTEP,11,9,2,,0,0,330,0,0,73.9,63.8,32.6,62.9,64.3,67.7,1,5,0,0,,7.4,2,0,3,0.0,0,0,0,10,0,0,477,466,343,122,1,0,0,11,233,244,0,11,16,2,0,6,0,0,0,
Maurice Thomas,14213,HB,MIAMI OH,1,0,0,,0,0,221,0,0,,60.1,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Robert Hayes Jr.,14327,CB,SMU,12,3,0,60.7,0,0,287,0,0,65.4,65.7,83.3,57.2,64.8,73.3,0,1,0,0,75,8.3,2,1,2,100.6,17,0,0,18,335,201,358,3,0,0,3,0,0,355,1,156,2,6,19,2,28,1,1,242,113,14.2
Anthony J. Taylor,14471,CB,TEXAS ST,12,6,0,37.5,0,1,314,0,0,80.0,79.4,89.0,59.2,74.6,77.5,0,0,0,1,44,8.6,3,9,2,60.3,15,0,0,145,28,336,694,18,0,0,18,0,57,676,3,355,446,7,26,1,40,0,2,199,54,13.3
Ladarian McFarland,14977,LB,UTSA,4,3,0,75.0,0,2,331,1,0,51.7,47.4,0.0,74.2,44.8,42.2,1,4,0,0,11,31.8,7,1,2,120.8,6,0,0,140,0,52,141,1,0,0,1,0,0,140,13,76,0,5,12,1,8,5,1,32,41,5.3
Marquis Couch,21749,ED,MARSHALL,13,22,1,40.0,0,1,214,0,0,67.9,74.5,41.3,71.4,76.0,72.2,7,14,0,0,23,12.3,7,0,3,54.6,2,2,0,36,3,101,609,541,0,4,517,20,2,68,236,272,27,24,28,3,5,23,0,23,4,11.5
Anthony Cruz,22522,S,TEMPLE,2,1,0,,0,0,306,0,0,63.9,66.6,73.4,,65.2,77.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,5,0,3,13,0,0,0,0,0,0,13,0,10,8,0,1,0,0,0,0,0,0,
Ryan Renick,22838,TE,TEXAS A&M,1,0,0,,0,0,312,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Clay Davis,22969,LB,W KENTUCKY,10,9,0,70.0,0,1,346,0,0,48.3,55.1,84.0,63.6,59.1,46.9,4,2,0,0,38,21.1,12,2,1,93.8,14,1,0,369,0,187,447,17,0,0,17,0,0,430,36,224,60,24,36,1,20,7,0,160,119,11.4
Cortez Davis,22974,CB,HAWAII,15,7,0,55.1,0,0,180,0,0,75.4,76.4,86.8,,73.2,89.2,0,0,1,1,37,3.6,2,10,4,81.7,43,0,0,44,869,533,940,2,0,0,2,0,8,938,0,407,16,18,46,3,78,0,4,411,148,9.6
Dru Prox,23093,LB,KANSAS,4,12,0,55.6,0,1,198,0,0,65.7,64.2,15.6,60.9,63.2,78.4,1,1,0,0,28,9.6,5,1,1,71.1,5,2,0,265,0,102,271,0,0,0,0,0,0,271,19,150,6,16,35,1,9,4,0,49,17,9.8
Tim Washington,23468,LB,MISS STATE,11,2,0,50.0,0,1,227,1,0,57.6,58.5,0.0,53.8,67.5,75.6,0,2,0,0,10,8.0,2,1,3,56.3,5,1,0,166,1,81,248,67,0,0,67,0,0,181,31,136,14,10,21,1,10,3,0,27,23,5.4
K.J. Osborn,23503,WR,MIAMI FL,1,0,0,,0,0,220,0,0,60.0,62.4,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Dalton Baker,23619,ED,UTAH ST,12,8,1,100.0,0,0,329,1,0,61.0,54.8,84.5,61.8,48.0,35.4,2,6,0,0,27,24.1,7,1,0,118.8,2,0,0,21,1,27,267,237,11,35,160,31,0,30,102,138,8,9,14,1,2,8,0,43,18,21.5
James Bowe Jr.,23787,S,UMASS,6,4,0,72.7,0,1,216,0,0,65.0,60.8,85.9,57.3,51.0,39.2,0,0,0,0,47,30.3,10,1,0,145.1,8,0,0,70,5,146,281,28,0,0,28,0,96,253,7,128,82,5,19,0,11,0,1,173,132,21.6
Tim Collins,23804,ED,W MICHIGAN,13,11,1,,0,1,347,0,0,69.9,72.7,59.3,65.0,71.7,62.2,2,9,0,0,,11.1,4,0,1,0.0,0,5,0,1,0,2,335,334,1,185,137,11,0,1,179,154,0,17,21,4,0,16,0,0,0,
Dontavious Jackson,24251,LB,FLORIDA ST,10,6,0,71.4,0,0,167,0,0,47.9,53.3,7.8,60.4,60.3,33.0,1,1,0,0,27,24.5,12,0,3,99.7,15,0,0,396,0,208,427,12,0,0,12,0,1,415,29,190,18,19,31,0,21,2,1,112,98,7.5
Alvinoski LaFleur,24504,S,E MICHIGAN,13,1,0,93.3,0,1,160,0,0,46.5,55.3,80.8,60.4,68.0,53.2,0,2,0,1,52,23.3,7,0,1,108.9,14,1,0,109,2,92,249,15,0,0,15,0,1,234,16,141,122,12,22,0,15,3,1,172,120,12.3
Mason Vega,24705,ED,HAWAII,9,3,1,,0,0,180,0,0,75.0,56.5,48.6,57.8,54.0,62.0,1,2,0,0,,20.0,3,0,1,0.0,0,1,0,1,0,0,243,242,13,61,77,91,0,1,139,104,0,8,9,2,0,4,0,0,0,
Shawn Featherstone,25441,S,AKRON,8,9,0,63.6,0,0,102,0,0,72.0,74.8,41.3,60.0,79.0,79.5,0,1,0,1,41,11.6,5,1,2,83.5,7,0,0,142,2,239,550,1,0,0,1,0,356,549,1,310,49,4,29,1,11,1,1,95,24,13.6
Alvin Davis Jr.,25442,S,AKRON,11,15,0,64.0,1,2,102,0,0,74.8,82.4,57.1,67.5,90.8,90.0,0,2,0,0,34,6.6,6,3,2,80.8,16,0,0,177,103,318,821,10,0,0,10,0,334,811,12,491,197,21,70,6,25,2,0,152,57,9.5
Anfernee Jennings,25449,ED,ALABAMA,13,16,3,75.0,4,1,103,0,0,68.6,86.9,0.0,88.2,88.6,67.0,15,21,0,1,37,13.0,10,2,10,64.6,6,8,0,50,0,77,652,593,0,8,568,17,0,59,294,281,8,46,51,4,8,44,0,76,41,12.7
Shyheim Carter,25451,CB,ALABAMA,13,11,1,57.7,0,1,103,0,0,73.0,75.0,89.5,58.7,80.6,60.0,1,1,0,1,31,17.0,8,2,0,83.1,30,0,0,44,5,372,638,25,0,0,25,0,4,613,24,242,559,15,28,3,52,2,3,271,146,9.0
Malik Lawal,25510,LB,TULANE,13,6,0,66.7,0,0,319,0,0,51.6,52.7,4.7,69.8,49.2,62.5,4,11,0,0,58,14.3,6,0,2,109.7,2,1,0,263,0,83,366,92,0,0,92,0,0,274,99,184,10,19,30,1,3,16,0,67,66,33.5
Tyler Whiley,25511,S,ARIZONA ST,7,5,0,83.3,0,0,110,1,0,45.2,52.6,0.0,62.2,71.1,80.0,2,0,0,0,48,5.9,1,0,1,154.9,5,0,0,43,0,58,116,0,0,0,0,0,46,116,9,49,27,2,11,0,6,2,2,70,43,14.0
Sean Adesanya,25543,ED,C MICHIGAN,14,7,1,50.0,0,1,134,1,0,68.5,75.3,29.6,77.5,66.7,35.1,9,25,0,1,3,31.3,15,0,5,16.7,1,8,0,0,0,10,707,707,1,9,667,30,0,0,390,307,0,27,26,8,2,42,0,3,2,3.0
Jared Atkinson,25636,WR,BAYLOR,1,0,0,,0,0,118,0,0,,60.0,60.0,60.0,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Jameson Houston,25642,CB,BAYLOR,14,2,0,56.0,1,0,118,1,0,72.9,72.8,26.4,62.2,75.8,65.4,0,3,0,1,79,15.5,9,6,5,80.2,42,0,0,91,722,481,838,13,0,0,13,0,3,825,11,346,8,19,47,1,75,3,3,427,178,10.2
Bravvion Roy,25644,DI,BAYLOR,14,12,0,,0,0,118,0,0,58.6,88.4,77.0,83.7,85.6,82.0,15,30,0,0,,5.4,3,0,1,0.0,0,6,0,59,0,10,726,666,626,36,2,2,0,60,422,294,0,37,41,8,0,51,0,0,0,
Clay Johnston,25685,LB,BAYLOR,6,13,0,72.2,0,0,118,0,0,65.7,83.1,82.6,77.3,90.2,60.8,2,5,0,1,18,16.4,10,5,0,67.6,13,4,0,311,0,180,334,3,0,0,3,0,1,331,27,127,19,32,38,6,18,11,0,123,64,9.5
Chris Miller,25686,S,BAYLOR,13,6,0,41.7,1,2,118,0,0,63.9,65.7,0.0,52.2,78.3,74.1,0,1,0,0,27,12.9,11,2,4,92.0,5,0,0,207,0,401,702,1,0,0,1,0,450,701,12,289,44,21,68,3,12,1,1,79,20,15.8
Henry Black,25687,S,BAYLOR,14,14,0,54.3,1,2,118,0,0,88.0,82.7,61.4,60.2,76.6,68.0,1,1,0,1,28,15.1,11,2,2,63.9,19,0,0,446,14,523,933,24,0,0,24,0,228,909,19,391,220,18,48,0,35,2,1,159,99,8.4
