player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
JR Pace,10116,S,NWESTERN,12,7,9.9,0,0,256,74.7,73.6,56.3,59.8,70.0,51.0,17.6,6,3,353,357,2.3,8,21
Kamal Martin,12744,LB,MINNESOTA,8,16,3.0,0,0,225,64.0,70.6,84.7,67.2,72.2,58.3,12.0,6,0,222,226,9.9,22,28
Reggie Robinson II,13094,CB,TULSA,12,6,4.2,0,1,320,68.0,69.0,85.8,67.0,68.8,69.3,10.5,2,8,401,412,1.5,6,11
Jaylan Foster,13095,CB,S CAROLINA,1,0,,0,0,289,61.0,62.2,71.4,,60.0,,,0,0,3,3,0.0,0,0
Tanner Karafa,13787,DI,BOSTON COL,13,15,1.7,0,0,121,68.7,78.3,73.6,62.4,80.8,57.7,14.0,8,1,367,371,8.4,31,34
Aaron Roberson,13789,CB,LA TECH,12,0,6.6,0,0,208,73.4,73.6,83.4,56.0,70.7,75.6,16.7,1,0,76,77,3.9,3,5
Hunter Andrews,13808,ED,E MICHIGAN,13,12,3.8,0,0,160,60.4,66.9,86.9,56.1,71.2,62.9,14.3,5,0,231,238,5.2,12,18
Terez Dickerson,13811,LB,DOMINION,10,3,3.8,0,0,263,59.3,65.1,79.2,59.0,69.2,73.8,6.7,1,0,74,75,9.5,7,11
Tyrin Ferguson,13817,ED,NEBRASKA,6,0,0.0,0,0,238,46.9,49.0,83.2,56.5,51.9,39.4,25.0,1,0,41,41,4.9,2,3
Trevon Hill,13821,ED,MIAMI FL,12,1,3.2,1,0,220,68.7,71.2,10.0,73.2,69.2,62.6,5.6,1,4,139,149,9.4,13,16
Adonis Thomas,13851,ED,FLORIDA ST,6,0,7.5,0,0,167,57.6,57.5,85.1,52.0,64.6,42.6,0.0,0,0,49,52,2.0,1,2
Malachi Jean,14041,DI,USF,2,0,,0,0,327,,53.9,72.8,60.0,55.5,,,0,0,6,6,0.0,0,0
Chris Richardson,14095,DI,UTEP,11,9,2.4,0,0,330,73.9,63.8,32.6,62.9,64.3,67.7,8.3,2,3,238,244,4.2,10,13
Maurice Thomas,14213,HB,MIAMI OH,1,0,,0,0,221,,60.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Robert Hayes Jr.,14327,CB,SMU,12,1,14.2,0,0,287,65.4,65.7,83.3,57.2,64.8,73.3,14.3,1,2,151,156,2.0,3,5
Anthony J. Taylor,14471,CB,TEXAS ST,12,2,5.6,0,0,314,80.0,79.4,89.0,59.2,74.6,77.5,7.1,1,2,349,355,1.1,4,11
Ladarian McFarland,14977,LB,UTSA,4,1,7.9,0,2,331,51.7,47.4,0.0,74.2,44.8,42.2,11.1,1,2,75,76,5.3,4,7
Marquis Couch,21749,ED,MARSHALL,13,20,2.5,0,0,214,67.9,74.5,41.3,71.4,76.0,72.2,11.5,6,3,268,272,7.8,21,26
Anthony Cruz,22522,S,TEMPLE,2,1,,0,0,306,63.9,66.6,73.4,,65.2,77.1,0.0,0,0,10,10,0.0,0,0
Ryan Renick,22838,TE,TEXAS A&M,1,0,,0,0,312,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Clay Davis,22969,LB,W KENTUCKY,10,8,4.4,0,1,346,48.3,55.1,84.0,63.6,59.1,46.9,17.4,8,1,220,224,10.0,22,30
Cortez Davis,22974,CB,HAWAII,15,2,5.8,0,0,180,75.4,76.4,86.8,,73.2,89.2,7.7,1,4,395,407,1.3,5,10
Dru Prox,23093,LB,KANSAS,4,11,6.1,0,1,198,65.7,64.2,15.6,60.9,63.2,78.4,10.6,5,1,146,150,8.9,13,31
Tim Washington,23468,LB,MISS STATE,11,2,4.9,0,0,227,57.6,58.5,0.0,53.8,67.5,75.6,9.5,2,3,135,136,5.9,8,17
Dalton Baker,23619,ED,UTAH ST,12,6,2.5,0,0,329,61.0,54.8,84.5,61.8,48.0,35.4,19.0,4,0,137,138,5.8,8,11
James Bowe Jr.,23787,S,UMASS,6,2,8.0,0,0,216,65.0,60.8,85.9,57.3,51.0,39.2,40.0,6,0,126,128,1.6,2,7
Tim Collins,23804,ED,W MICHIGAN,13,9,3.0,0,1,347,69.9,72.7,59.3,65.0,71.7,62.2,7.1,2,1,152,154,6.6,10,17
Dontavious Jackson,24251,LB,FLORIDA ST,10,4,2.8,0,0,167,47.9,53.3,7.8,60.4,60.3,33.0,22.9,8,3,186,190,8.1,15,23
Alvinoski LaFleur,24504,S,E MICHIGAN,13,0,3.7,0,1,160,46.5,55.3,80.8,60.4,68.0,53.2,7.1,1,1,136,141,5.1,7,13
Mason Vega,24705,ED,HAWAII,9,3,1.0,0,0,180,75.0,56.5,48.6,57.8,54.0,62.0,27.3,3,1,101,104,5.0,5,5
Shawn Featherstone,25441,S,AKRON,8,8,9.2,0,0,102,72.0,74.8,41.3,60.0,79.0,79.5,10.3,3,2,300,310,1.3,4,18
Alvin Davis Jr.,25442,S,AKRON,11,14,7.5,1,1,102,74.8,82.4,57.1,67.5,90.8,90.0,7.8,5,2,480,491,3.8,18,45
Anfernee Jennings,25449,ED,ALABAMA,13,13,2.9,4,0,103,68.6,86.9,0.0,88.2,88.6,67.0,12.1,8,10,278,281,12.6,35,45
Shyheim Carter,25451,CB,ALABAMA,13,3,3.8,0,1,103,73.0,75.0,89.5,58.7,80.6,60.0,20.0,3,0,239,242,2.1,5,9
Malik Lawal,25510,LB,TULANE,13,4,4.3,0,0,319,51.6,52.7,4.7,69.8,49.2,62.5,6.3,2,2,179,184,9.5,17,26
Tyler Whiley,25511,S,ARIZONA ST,7,3,6.0,0,0,110,45.2,52.6,0.0,62.2,71.1,80.0,8.3,1,1,49,49,2.0,1,8
Sean Adesanya,25543,ED,C MICHIGAN,14,7,1.3,0,0,134,68.5,75.3,29.6,77.5,66.7,35.1,30.2,13,5,301,307,6.0,18,23
Jameson Houston,25642,CB,BAYLOR,14,2,8.5,1,0,118,72.9,72.8,26.4,62.2,75.8,65.4,17.6,3,5,336,346,1.8,6,12
Bravvion Roy,25644,DI,BAYLOR,14,10,2.1,0,0,118,58.6,88.4,77.0,83.7,85.6,82.0,2.1,1,1,285,294,10.2,29,37
Clay Johnston,25685,LB,BAYLOR,6,11,1.6,0,0,118,65.7,83.1,82.6,77.3,90.2,60.8,14.0,6,0,124,127,17.7,22,26
Chris Miller,25686,S,BAYLOR,13,5,7.4,1,2,118,63.9,65.7,0.0,52.2,78.3,74.1,7.8,4,4,282,289,6.0,17,42
Henry Black,25687,S,BAYLOR,14,11,5.0,1,2,118,88.0,82.7,61.4,60.2,76.6,68.0,18.6,8,2,382,391,2.9,11,24
Cam Jefferies,25700,CB,CINCINNATI,14,3,9.3,1,0,138,61.0,63.2,86.1,,71.8,50.0,25.0,2,4,231,237,0.4,1,3
David Konowalski,25701,ED,BOWL GREEN,12,10,3.0,1,0,122,64.8,66.3,60.7,63.4,65.5,49.7,16.7,8,2,331,340,5.7,19,30
Antonyo Sotolongo,25704,S,BOWL GREEN,12,7,8.5,0,1,122,56.1,53.9,19.7,53.4,54.0,33.6,23.1,9,1,152,153,3.3,5,23
Luc Bequette,25776,DI,CAL,13,7,2.6,1,0,130,67.0,64.4,71.7,60.8,62.8,63.2,8.3,4,2,306,315,8.5,26,37
Zeandae Johnson,25779,DI,CAL,13,3,2.8,0,0,130,65.2,75.0,86.3,67.6,73.8,49.9,16.0,4,0,287,295,4.5,13,18
D'Andre Dill,25890,DI,C MICHIGAN,11,2,3.0,1,0,134,60.0,66.2,0.9,73.8,63.4,58.6,14.3,1,3,106,107,0.0,0,4
Michael Oliver,25893,LB,C MICHIGAN,14,19,2.1,0,1,134,62.0,66.9,86.3,58.8,68.3,47.7,17.4,15,1,285,292,15.1,43,52
Willie Edwards,26004,CB,APP STATE,3,0,,0,0,108,70.4,70.6,76.2,,62.2,48.1,,0,0,14,15,0.0,0,0
Tre Hornbuckle,26138,ED,DUKE,11,5,2.0,0,1,154,66.4,72.9,45.2,64.0,75.7,59.3,11.5,3,2,199,199,7.5,15,18
Trevon McSwain,26142,DI,DUKE,12,7,2.3,0,0,154,60.5,74.8,67.9,80.9,66.8,46.7,17.2,5,1,257,262,4.7,12,17
Jordan Hayes,26143,S,UCF,5,1,4.9,0,0,323,59.2,58.2,81.5,55.4,56.2,52.3,20.0,2,0,39,40,7.7,3,7
Koby Quansah,26145,LB,DUKE,12,17,2.3,1,0,154,47.9,64.6,35.7,56.9,77.3,68.4,11.3,9,3,369,374,10.6,39,54
Dylan Singleton,26147,S,DUKE,12,16,6.1,0,1,154,57.7,59.5,58.2,60.3,61.9,57.3,23.0,14,1,360,365,3.9,14,31
Colby Gore,26197,CB,E CAROLINA,10,0,10.3,0,0,156,56.2,51.2,17.5,45.5,41.5,69.1,25.0,3,4,348,357,1.4,5,9
Kendall Futrell,26199,ED,E CAROLINA,12,8,2.8,0,1,156,64.4,86.8,67.3,85.5,80.4,71.5,6.3,3,2,400,408,6.8,27,37
Michael Swift,26200,ED,E CAROLINA,7,0,2.3,0,0,156,60.0,58.8,79.1,52.1,61.9,58.5,20.0,1,0,41,41,7.3,3,4
