season,player_id,player_name,team_id,team_name,conference,position,games,starts,dropbacks,pass_attempts,sacks_taken,pressures_faced,completions,pass_yards,pass_td,interceptions,sacks_yards_lost,air_yards,yac,completion_pct,yards_per_att,adj_yards_per_att,yards_per_dropback,td_rate,int_rate,air_yards_per_att,yac_per_comp,pressure_rate,sack_rate,epa_total_pass,epa_per_dropback,ppa_total_pass,ppa_per_dropback,success_rate,explosive_pass_rate,cfbd_player_id,pff_player_game_count,pff_accuracy_percent,pff_aimed_passes,pff_attempts,pff_avg_depth_of_target,pff_avg_time_to_throw,pff_bats,pff_big_time_throws,pff_btt_rate,pff_completion_percent,pff_completions,pff_def_gen_pressures,pff_drop_rate,pff_dropbacks,pff_drops,pff_first_downs,pff_grades_hands_fumble,pff_grades_offense,pff_grades_pass,pff_grades_run,pff_hit_as_threw,pff_interceptions,pff_passing_snaps,pff_penalties,pff_declined_penalties,pff_pressure_to_sack_rate,pff_qb_rating,pff_sack_percent,pff_sacks,pff_scrambles,pff_spikes,pff_thrown_aways,pff_touchdowns,pff_turnover_worthy_plays,pff_twp_rate,pff_yards,pff_ypa
2019,246044,Tyler Johnson,135,Minnesota,Big Ten,WR,,,1.0,1,0.0,,1.0,17,1.0,0.0,0.0,,,1.0,17.0,37.0,17.0,1.0,0.0,,,,0.0,5.179559179489368,5.179559179489368,2.859452485460281,2.859452485460281,1.0,0.0,246044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3121083,Jacob Knipp,2458,Northern Colorado,Big Sky,QB,,,69.0,64,5.0,,34.0,250,1.0,1.0,40.0,,,0.53125,3.90625,3.515625,3.6231884057971016,0.015625,0.015625,,,,0.072463768115942,-2.200551183595293,-0.0318920461390622,-8.406043886158415,-0.1218267229878031,0.375,0.078125,3121083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3122176,Gage Gubrud,265,Washington State,Pac-12,QB,,,11.0,11,0.0,,9.0,76,1.0,0.0,0.0,,,0.8181818181818182,6.909090909090909,8.727272727272727,6.909090909090909,0.0909090909090909,0.0,,,,0.0,9.35807437717478,0.8507340342886163,6.675240573214581,0.6068400521104165,0.5454545454545454,0.0909090909090909,3122176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3122413,Nick Basquine,201,Oklahoma,Big 12,WR,,,3.0,3,0.0,,2.0,-1,1.0,1.0,0.0,,,0.6666666666666666,-0.3333333333333333,-8.666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.0,12.40965044993517,4.136550149978389,3.3063471541112106,1.1021157180370702,1.0,0.3333333333333333,3122413,3.0,100.0,3.0,3.0,11.7,4.53,0.0,0.0,0.0,66.7,2.0,1.0,33.3,3.0,1.0,2.0,70.2,69.7,88.3,,0.0,1.0,3.0,1.0,0.0,0.0,92.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,8.3
2019,3122790,Darius Wade,189,Bowling Green,Mid-American,QB,,,149.0,134,5.0,,73.0,670,3.0,3.0,36.0,,,0.5447761194029851,5.0,4.440298507462686,4.820143884892087,0.0223880597014925,0.0223880597014925,,,,0.0359712230215827,14.274677702590324,0.1026955230402181,-5.146998468992224,-0.0370287659639728,0.3805970149253731,0.0597014925373134,3122790,7.0,65.6,125.0,130.0,6.0,3.03,0.0,2.0,1.5,56.9,74.0,63.0,9.8,149.0,8.0,41.0,34.8,56.9,54.5,62.1,1.0,3.0,153.0,1.0,0.0,9.5,71.7,4.0,6.0,12.0,0.0,4.0,3.0,7.0,4.6,751.0,5.8
2019,3123854,Aston Walter,242,Rice,Conference USA,RB,,,1.0,1,0.0,,1.0,27,0.0,0.0,0.0,,,1.0,27.0,27.0,27.0,0.0,0.0,,,,0.0,3.4242732830145823,3.4242732830145823,1.825993199017988,1.825993199017988,1.0,1.0,3123854,1.0,100.0,1.0,1.0,25.0,3.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,1.0,58.6,77.2,76.2,74.4,0.0,0.0,1.0,1.0,1.0,,118.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
2019,3124529,Kilton Anderson,2729,William & Mary,CAA,QB,,,34.0,32,2.0,,14.0,170,0.0,1.0,14.0,,,0.4375,5.3125,3.90625,5.0,0.0,0.03125,,,,0.0588235294117647,7.012820198253885,0.2062594175957025,-4.1588154548865095,-0.1223181016143091,0.40625,0.09375,3124529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3124884,Gunnar Amos,304,Idaho State,Big Sky,QB,,,17.0,17,0.0,,7.0,45,0.0,1.0,0.0,,,0.4117647058823529,2.647058823529412,0.0,2.647058823529412,0.0,0.0588235294117647,,,,0.0,-0.2128577504853082,-0.0125210441461946,-4.135027462904027,-0.2432369095825898,0.3529411764705882,0.0,3124884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3124900,Jake Luton,204,Oregon State,Pac-12,QB,,,389.0,383,22.0,,221.0,2436,28.0,3.0,188.0,,,0.577023498694517,6.360313315926893,7.469973890339426,6.014814814814815,0.0731070496083551,0.0078328981723237,,,,0.0543209876543209,205.30950586639636,0.5069370515219662,124.54205267936744,0.3075112411836233,0.4986945169712793,0.0992167101827676,3124900,11.0,74.1,321.0,359.0,9.0,2.67,11.0,19.0,5.1,61.8,222.0,90.0,6.7,389.0,16.0,134.0,79.3,88.5,86.9,66.8,0.0,3.0,404.0,2.0,0.0,24.4,107.6,5.7,22.0,8.0,0.0,27.0,28.0,8.0,2.0,2714.0,7.6
2019,3125336,Kevin Thomson,16,Sacramento State,Big Sky,QB,,,98.0,94,4.0,,53.0,432,4.0,1.0,25.0,,,0.5638297872340425,4.595744680851064,4.968085106382978,4.408163265306122,0.0425531914893617,0.0106382978723404,,,,0.0408163265306122,26.624790250223075,0.2716815331655415,9.954246753101527,0.1015739464602196,0.4148936170212766,0.0531914893617021,3125336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3125956,Randall West,113,Massachusetts,FBS Independents,QB,,,165.0,159,6.0,,91.0,768,6.0,6.0,35.0,,,0.5723270440251572,4.830188679245283,3.8867924528301887,4.654545454545454,0.0377358490566037,0.0377358490566037,,,,0.0363636363636363,59.24790960701772,0.3590782400425316,14.318331543341063,0.0867777669293397,0.4716981132075472,0.0880503144654088,3125956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3675812,Bryce Perkins,258,Virginia,ACC,QB,,,597.0,490,33.0,,290.0,3102,20.0,10.0,221.0,,,0.5918367346938775,6.330612244897959,6.228571428571429,5.931166347992352,0.0408163265306122,0.0204081632653061,,,,0.0630975143403441,197.384300056414,0.3774078394960115,98.5669681091377,0.1884645661742594,0.5122448979591837,0.0857142857142857,3675812,14.0,71.2,462.0,498.0,9.6,2.88,2.0,14.0,2.7,64.5,321.0,221.0,2.4,597.0,8.0,194.0,44.6,64.0,58.5,70.2,4.0,12.0,629.0,3.0,0.0,21.3,90.1,7.9,47.0,51.0,1.0,29.0,22.0,29.0,4.6,3542.0,7.1
2019,3722361,Akilian Butler,68,Boise State,Mountain West,WR,,,1.0,1,0.0,,1.0,5,1.0,0.0,0.0,,,1.0,5.0,25.0,5.0,1.0,0.0,,,,0.0,3.304477776786716,3.304477776786716,1.883780840558874,1.883780840558874,1.0,0.0,3722361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3728240,Kelly Bryant,142,Missouri,SEC,QB,,,351.0,306,17.0,,178.0,2025,15.0,6.0,114.0,,,0.5816993464052288,6.617647058823529,6.715686274509804,6.269349845201238,0.0490196078431372,0.0196078431372549,,,,0.0526315789473684,137.50372088682332,0.4257081142006914,74.13736859543448,0.2295274569518095,0.4803921568627451,0.1013071895424836,3728240,10.0,73.3,273.0,295.0,7.8,3.23,6.0,8.0,2.5,61.4,181.0,106.0,9.5,351.0,19.0,104.0,54.5,68.7,65.3,65.8,3.0,6.0,374.0,4.0,0.0,18.9,93.0,5.7,20.0,35.0,0.0,13.0,15.0,7.0,1.9,2215.0,7.5
2019,3791110,Tommy Stevens,344,Mississippi State,SEC,QB,,,186.0,176,10.0,,96.0,957,11.0,5.0,109.0,,,0.5454545454545454,5.4375,5.409090909090909,5.145161290322581,0.0625,0.0284090909090909,,,,0.053763440860215,80.32722456810791,0.4318667987532683,37.56941895011959,0.2019861233877397,0.5,0.0738636363636363,3791110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3791146,Elijah Sindelar,2509,Purdue,Big Ten,QB,,,116.0,112,1.0,,71.0,960,9.0,3.0,7.0,,,0.6339285714285714,8.571428571428571,8.973214285714286,8.495575221238939,0.0803571428571428,0.0267857142857142,,,,0.0088495575221238,88.5672611520771,0.7837810721422752,48.14275352855047,0.4260420666243404,0.5357142857142857,0.1696428571428571,3791146,3.0,78.6,103.0,112.0,9.4,2.38,4.0,4.0,3.4,64.3,72.0,26.0,11.1,116.0,9.0,41.0,58.6,66.2,67.6,56.1,0.0,3.0,122.0,2.0,0.0,7.7,107.8,1.7,2.0,2.0,0.0,5.0,9.0,8.0,6.6,982.0,8.8
2019,3843247,Justin McMillan,2655,Tulane,American Athletic,QB,,,395.0,335,17.0,,177.0,2111,13.0,10.0,176.0,,,0.5283582089552239,6.3014925373134325,5.734328358208956,5.997159090909091,0.0388059701492537,0.0298507462686567,,,,0.0482954545454545,136.48889521284045,0.3877525432182967,59.16145866448656,0.1680723257513822,0.4895522388059701,0.0955223880597015,3843247,13.0,66.6,305.0,317.0,11.1,2.93,1.0,13.0,4.0,57.7,183.0,152.0,9.9,395.0,20.0,134.0,58.8,70.6,57.9,78.8,1.0,10.0,408.0,2.0,0.0,17.1,87.0,6.6,26.0,52.0,0.0,10.0,17.0,23.0,5.6,2444.0,7.7
2019,3843469,Derrick Dillon,99,LSU,SEC,WR,,,1.0,1,0.0,,1.0,7,1.0,0.0,0.0,,,1.0,7.0,27.0,7.0,1.0,0.0,,,,0.0,4.403391641993318,4.403391641993318,2.607148468017737,2.607148468017737,1.0,0.0,3843469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3843725,Josh Growden,277,West Virginia,Big 12,P,,,1.0,1,0.0,,1.0,7,0.0,0.0,0.0,,,1.0,7.0,7.0,7.0,0.0,0.0,,,,0.0,1.8803883756721569,1.8803883756721569,2.097185382748316,2.097185382748316,1.0,0.0,3843725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3858269,Ross Bowers,2459,Northern Illinois,Mid-American,QB,,,315.0,301,14.0,,166.0,1902,7.0,7.0,112.0,,,0.5514950166112956,6.318936877076412,5.737541528239203,6.038095238095238,0.0232558139534883,0.0232558139534883,,,,0.0444444444444444,112.59378476739865,0.3574405865631702,73.02939522591541,0.2318393499235409,0.4584717607973422,0.1029900332225913,3858269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3858944,Blake Barnett,58,South Florida,American Athletic,QB,,,89.0,81,8.0,,36.0,365,0.0,2.0,54.0,,,0.4444444444444444,4.506172839506172,3.3950617283950617,4.101123595505618,0.0,0.0246913580246913,,,,0.0898876404494382,3.6784978449564334,0.0413314364601846,-2.436721826774222,-0.0273788969300474,0.3703703703703703,0.0864197530864197,3858944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3870490,Chris Chugunov,194,Ohio State,Big Ten,QB,,,46.0,45,2.0,,26.0,276,6.0,0.0,10.0,,,0.5777777777777777,6.133333333333334,8.8,5.872340425531915,0.1333333333333333,0.0,,,,0.0425531914893617,31.88377613307241,0.6783782155972852,19.714467722851083,0.4194567600606613,0.5111111111111111,0.0666666666666666,3870490,9.0,68.3,41.0,43.0,8.4,2.47,0.0,3.0,6.5,60.5,26.0,10.0,7.1,46.0,2.0,15.0,26.0,64.0,69.0,42.1,0.0,0.0,49.0,1.0,0.0,20.0,119.8,4.3,2.0,1.0,0.0,2.0,6.0,2.0,4.1,286.0,6.7
2019,3886565,Quinten Dormady,2117,Central Michigan,Mid-American,QB,,,247.0,238,9.0,,144.0,1648,11.0,8.0,72.0,,,0.6050420168067226,6.92436974789916,6.336134453781512,6.672064777327935,0.0462184873949579,0.0336134453781512,,,,0.0364372469635627,126.56712783541812,0.512417521600883,62.87598376337323,0.2545586387181102,0.5294117647058824,0.1134453781512605,3886565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3886598,Jauan Jennings,2633,Tennessee,SEC,WR,,,2.0,3,0.0,,2.0,18,2.0,0.0,0.0,,,0.6666666666666666,6.0,19.33333333333333,6.0,0.6666666666666666,0.0,,,,0.0,10.149559179489367,3.3831863931631223,5.458135025597132,1.8193783418657103,0.6666666666666666,0.0,3886598,3.0,0.0,1.0,1.0,32.0,4.45,0.0,1.0,50.0,0.0,0.0,2.0,,2.0,0.0,1.0,56.6,88.9,75.9,66.1,0.0,0.0,3.0,2.0,1.0,0.0,39.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,3886609,Alex Hornibrook,52,Florida State,ACC,QB,,,150.0,142,17.0,,84.0,875,7.0,2.0,126.0,,,0.5915492957746479,6.161971830985915,6.514084507042254,5.50314465408805,0.0492957746478873,0.0140845070422535,,,,0.1069182389937107,51.915506625600536,0.3265126202867958,31.16620125386642,0.1960138443639397,0.4788732394366197,0.0985915492957746,3886609,5.0,79.8,114.0,122.0,6.1,2.69,0.0,3.0,2.3,68.9,84.0,65.0,7.7,150.0,7.0,43.0,46.5,62.9,64.4,51.9,1.0,2.0,160.0,0.0,0.0,30.8,105.3,13.3,20.0,8.0,0.0,7.0,7.0,6.0,3.8,982.0,8.0
2019,3886621,Ty Storey,98,Western Kentucky,Conference USA,QB,,,370.0,359,11.0,,241.0,2464,14.0,6.0,93.0,,,0.6713091922005571,6.8635097493036215,6.891364902506964,6.65945945945946,0.0389972144846796,0.0167130919220055,,,,0.0297297297297297,184.59607703857893,0.4989083163204836,108.47011786128728,0.2931624807061818,0.5097493036211699,0.1030640668523676,3886621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3886634,Alex Delton,2628,TCU,Big 12,QB,,,59.0,52,3.0,,26.0,221,0.0,1.0,26.0,,,0.5,4.25,3.3846153846153846,4.0181818181818185,0.0,0.0192307692307692,,,,0.0545454545454545,0.2790849657618106,0.0050742721047601,-6.459009794686179,-0.1174365417215669,0.2692307692307692,0.0576923076923076,3886634,5.0,65.3,49.0,50.0,8.8,2.71,0.0,3.0,6.0,54.0,27.0,18.0,15.6,59.0,5.0,13.0,73.5,82.7,78.2,72.3,0.0,1.0,59.0,0.0,0.0,16.7,65.3,5.1,3.0,4.0,0.0,1.0,0.0,1.0,1.7,318.0,6.4
2019,3893625,Nick Ralston,309,Louisiana,Sun Belt,LB,,,2.0,2,0.0,,2.0,13,2.0,0.0,0.0,,,1.0,6.5,26.5,6.5,1.0,0.0,,,,0.0,8.054866152458873,4.027433076229436,4.832922603183773,2.4164613015918865,1.0,0.0,3893625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3893630,Brady White,235,Memphis,American Athletic,QB,,,464.0,399,14.0,,246.0,3644,31.0,10.0,135.0,,,0.6165413533834586,9.1328320802005,9.558897243107769,8.823244552058112,0.0776942355889724,0.025062656641604,,,,0.0338983050847457,327.662215954222,0.7933709829400049,201.45111347755747,0.4877750931659987,0.5413533834586466,0.1729323308270676,3893630,14.0,71.8,404.0,423.0,10.3,2.53,4.0,21.0,4.7,63.6,269.0,118.0,7.2,464.0,21.0,167.0,33.3,73.4,75.6,44.2,0.0,11.0,490.0,4.0,0.0,21.2,109.8,5.4,25.0,15.0,2.0,13.0,33.0,21.0,4.3,4014.0,9.5
2019,3910083,McLane Carter,164,Rutgers,Big Ten,QB,,,50.0,48,2.0,,26.0,343,2.0,4.0,13.0,,,0.5416666666666666,7.145833333333333,4.229166666666667,6.86,0.0416666666666666,0.0833333333333333,,,,0.04,29.492473054388128,0.5898494610877626,9.521965984887522,0.1904393196977504,0.4583333333333333,0.125,3910083,2.0,68.9,45.0,47.0,9.4,2.4,0.0,5.0,10.2,57.4,27.0,12.0,12.9,50.0,4.0,17.0,69.8,64.1,63.0,,0.0,4.0,52.0,0.0,0.0,16.7,61.3,4.0,2.0,0.0,0.0,2.0,2.0,3.0,5.8,368.0,7.8
2019,3910249,Kenji Bahar,2405,Monmouth,Big South,QB,,,46.0,44,2.0,,26.0,171,1.0,0.0,23.0,,,0.5909090909090909,3.886363636363636,4.340909090909091,3.717391304347826,0.0227272727272727,0.0,,,,0.0434782608695652,10.423865817221396,0.2266057786352477,4.295378863712815,0.0933778013850611,0.5,0.0,3910249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3910544,Joshua Kelley,26,UCLA,Pac-12,RB,,,1.0,1,0.0,,1.0,14,1.0,0.0,0.0,,,1.0,14.0,34.0,14.0,1.0,0.0,,,,0.0,5.18,5.18,2.86085289471866,2.86085289471866,1.0,0.0,3910544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3911636,Tyrie Adams,2717,Western Carolina,Southern,QB,,,24.0,21,3.0,,9.0,2,1.0,4.0,18.0,,,0.4285714285714285,0.0952380952380952,-7.523809523809524,0.0833333333333333,0.0476190476190476,0.1904761904761904,,,,0.125,0.2607767024755945,0.0108656959364831,-9.769105990139629,-0.4070460829224845,0.5238095238095238,0.0476190476190476,3911636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3912536,Tom Stewart,242,Rice,Conference USA,QB,,,189.0,170,17.0,,91.0,955,8.0,2.0,100.0,,,0.5352941176470588,5.617647058823529,6.029411764705882,5.106951871657754,0.0470588235294117,0.0117647058823529,,,,0.0909090909090909,59.95856819692947,0.3206340545290346,23.960734913547657,0.1281322722649607,0.4941176470588235,0.0705882352941176,3912536,10.0,70.6,143.0,155.0,9.8,2.76,3.0,4.0,2.5,59.4,92.0,61.0,8.9,189.0,9.0,59.0,42.8,53.6,57.9,43.6,3.0,2.0,193.0,1.0,0.0,31.1,91.7,10.1,19.0,15.0,1.0,5.0,8.0,9.0,4.7,1054.0,6.8
2019,3912660,Jaquan Blair,311,Maine,CAA,WR,,,1.0,1,0.0,,1.0,46,1.0,0.0,0.0,,,1.0,46.0,66.0,46.0,1.0,0.0,,,,0.0,6.719999999999999,6.719999999999999,3.5432874081344643,3.5432874081344643,1.0,1.0,3912660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3913137,Alex Thomson,276,Marshall,Conference USA,QB,,,11.0,10,1.0,,8.0,107,1.0,0.0,16.0,,,0.8,10.7,12.7,9.727272727272728,0.1,0.0,,,,0.0909090909090909,13.931123433570184,1.2664657666881989,8.073875591887994,0.7339886901716358,0.8,0.1,3913137,2.0,88.9,9.0,10.0,10.3,2.71,0.0,0.0,0.0,80.0,8.0,3.0,0.0,11.0,0.0,7.0,22.5,71.9,68.6,65.6,0.0,0.0,12.0,0.0,0.0,33.3,151.3,9.1,1.0,0.0,1.0,0.0,1.0,1.0,8.3,123.0,12.3
2019,3913822,Case Cookus,2464,Northern Arizona,Big Sky,QB,,,50.0,49,1.0,,28.0,372,2.0,2.0,1.0,,,0.5714285714285714,7.591836734693878,6.571428571428571,7.44,0.0408163265306122,0.0408163265306122,,,,0.02,25.78766198810736,0.5157532397621472,16.155994168647236,0.3231198833729447,0.4693877551020408,0.1224489795918367,3913822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914151,Josiah Deguara,2132,Cincinnati,American Athletic,TE,,,1.0,1,0.0,,1.0,16,1.0,0.0,0.0,,,1.0,16.0,36.0,16.0,1.0,0.0,,,,0.0,5.398310239290667,5.398310239290667,2.948901210326211,2.948901210326211,1.0,0.0,3914151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914305,Anthony Jones,2229,Florida International,Conference USA,RB,,,1.0,1,0.0,,0.0,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,-0.7000000000000002,-0.7000000000000002,-0.26931522945819,-0.26931522945819,0.0,0.0,3914305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914307,Maurice Alexander,2229,Florida International,Conference USA,WR,,,2.0,2,0.0,,1.0,22,0.0,0.0,0.0,,,0.5,11.0,11.0,11.0,0.0,0.0,,,,0.0,0.8399999999999999,0.4199999999999999,0.4380427756824387,0.2190213878412193,0.5,0.5,3914307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914382,J'Mar Smith,2348,Louisiana Tech,Conference USA,QB,,,401.0,388,13.0,,233.0,2813,17.0,5.0,135.0,,,0.6005154639175257,7.25,7.546391752577319,7.014962593516209,0.0438144329896907,0.0128865979381443,,,,0.0324189526184538,207.74618568658272,0.5180702884952187,134.82733304341636,0.3362277632005395,0.520618556701031,0.1159793814432989,3914382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914395,James Morgan,2229,Florida International,Conference USA,QB,,,372.0,364,8.0,,204.0,2474,14.0,5.0,62.0,,,0.5604395604395604,6.7967032967032965,6.947802197802198,6.650537634408602,0.0384615384615384,0.0137362637362637,,,,0.021505376344086,182.4395575098454,0.4904289180372188,99.36401361322562,0.2671075634764129,0.4862637362637362,0.0989010989010989,3914395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914569,Jaylon Henderson,68,Boise State,Mountain West,QB,,,160.0,119,3.0,,69.0,823,10.0,1.0,46.0,,,0.5798319327731093,6.915966386554622,8.218487394957982,6.745901639344262,0.0840336134453781,0.0084033613445378,,,,0.0245901639344262,82.2428465951715,0.6741216934030451,44.06023569445615,0.3611494729053782,0.5294117647058824,0.1008403361344537,3914569,8.0,71.7,138.0,144.0,9.5,2.86,2.0,5.0,3.4,61.8,89.0,53.0,10.1,160.0,10.0,55.0,67.5,69.2,63.2,71.9,1.0,2.0,164.0,1.0,0.0,11.3,106.8,3.8,6.0,9.0,0.0,3.0,12.0,6.0,3.7,1080.0,7.5
2019,3914580,Blaze Moorhead,2636,UTSA,Conference USA,WR,,,1.0,1,0.0,,1.0,18,1.0,0.0,0.0,,,1.0,18.0,38.0,18.0,1.0,0.0,,,,0.0,5.753213388631249,5.753213388631249,3.1060203335870806,3.1060203335870806,1.0,0.0,3914580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3914826,Kelton Moore,2440,Nevada,Mountain West,RB,,,1.0,1,0.0,,1.0,1,0.0,0.0,0.0,,,1.0,1.0,1.0,1.0,0.0,0.0,,,,0.0,-0.5351755359079569,-0.5351755359079569,-0.290178703251536,-0.290178703251536,0.0,0.0,3914826,2.0,100.0,1.0,1.0,-2.0,1.9,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,55.9,72.5,61.0,72.7,0.0,0.0,2.0,0.0,0.0,,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2019,3914836,Cristian Solano,2440,Nevada,Mountain West,QB,,,53.0,45,4.0,,25.0,228,2.0,2.0,25.0,,,0.5555555555555556,5.066666666666666,3.955555555555556,4.653061224489796,0.0444444444444444,0.0444444444444444,,,,0.0816326530612244,10.022702825905077,0.2045449556307158,1.45767245246474,0.0297484173972395,0.4,0.1111111111111111,3914836,3.0,77.8,36.0,41.0,7.7,3.27,2.0,1.0,2.2,61.0,25.0,24.0,10.7,53.0,3.0,16.0,29.0,65.9,67.0,61.5,1.0,2.0,57.0,1.0,0.0,16.7,74.0,7.5,4.0,8.0,0.0,2.0,2.0,3.0,5.3,248.0,6.0
2019,3915308,Jake Burt,103,Boston College,ACC,TE,,,1.0,1,0.0,,1.0,55,1.0,0.0,0.0,,,1.0,55.0,75.0,55.0,1.0,0.0,,,,0.0,7.35,7.35,4.276613237316365,4.276613237316365,1.0,1.0,3915308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3915379,Sheriron Jones,167,New Mexico,Mountain West,QB,,,89.0,77,4.0,,32.0,348,1.0,6.0,28.0,,,0.4155844155844156,4.51948051948052,1.2727272727272727,4.296296296296297,0.0129870129870129,0.0779220779220779,,,,0.0493827160493827,33.59170226068005,0.4147123735886426,6.723215150476311,0.0830026561787199,0.4415584415584415,0.1038961038961039,3915379,5.0,51.4,72.0,78.0,12.9,2.47,1.0,2.0,2.2,44.9,35.0,23.0,5.4,89.0,2.0,26.0,27.2,48.1,43.6,59.1,1.0,7.0,103.0,0.0,0.0,17.4,37.9,4.5,4.0,6.0,1.0,3.0,2.0,8.0,7.8,511.0,6.6
2019,3915436,Steven Montez,38,Colorado,Pac-12,QB,,,447.0,420,15.0,,251.0,2553,15.0,9.0,130.0,,,0.5976190476190476,6.078571428571428,5.828571428571428,5.86896551724138,0.0357142857142857,0.0214285714285714,,,,0.0344827586206896,187.4831992337623,0.4309958603074995,95.20055730507904,0.2188518558737449,0.4880952380952381,0.0833333333333333,3915436,12.0,73.9,371.0,406.0,8.3,2.9,2.0,14.0,3.3,62.8,255.0,140.0,6.9,447.0,19.0,136.0,69.0,73.4,71.8,64.1,2.0,10.0,473.0,4.0,0.0,14.3,86.9,4.5,20.0,20.0,1.0,30.0,17.0,15.0,3.2,2809.0,6.9
2019,3915468,Riley Neal,238,Vanderbilt,SEC,QB,,,290.0,275,16.0,,147.0,1415,8.0,5.0,117.0,,,0.5345454545454545,5.1454545454545455,4.909090909090909,4.86254295532646,0.029090909090909,0.0181818181818181,,,,0.0549828178694158,68.04391521691781,0.2338278873433601,18.096105811931658,0.0621859306251947,0.4145454545454545,0.0909090909090909,3915468,11.0,68.7,233.0,257.0,7.0,2.8,5.0,5.0,1.9,57.2,147.0,104.0,8.1,290.0,13.0,59.0,61.9,55.0,52.4,66.6,1.0,5.0,302.0,4.0,0.0,17.3,78.7,6.2,18.0,13.0,0.0,18.0,9.0,12.0,4.0,1567.0,6.1
2019,3915511,Joe Burrow,99,LSU,SEC,QB,,,610.0,502,23.0,,356.0,4776,42.0,6.0,199.0,,,0.7091633466135459,9.51394422310757,10.649402390438247,9.097142857142858,0.0836653386454183,0.0119521912350597,,,,0.0438095238095238,459.52617956314,0.8752879610726477,292.2257663624187,0.556620507356988,0.6274900398406374,0.1434262948207171,3915511,15.0,81.9,514.0,527.0,9.6,2.95,4.0,41.0,7.5,76.3,402.0,188.0,4.5,610.0,19.0,270.0,67.0,95.0,94.1,78.7,0.0,6.0,632.0,4.0,0.0,19.1,143.7,5.9,36.0,47.0,0.0,9.0,60.0,11.0,1.7,5668.0,10.8
