season,player_id,player_name,team_id,team_name,conference,position,games,snaps,routes,targets,receptions,rec_yards,yds_per_reception,rec_td,drops,fumbles,air_yards,yac,tgt_per_route,adot,yards_per_route_run,targets_per_game,catch_pct,drop_rate,yds_per_target,tds_per_target,yac_per_rec,air_yards_share,target_share,epa_total_recv,epa_per_target,ppa_total_recv,ppa_per_target,success_rate,explosive_rec_rate,slot_rate,wide_rate,inline_te_rate,man_tgt_rate,zone_tgt_rate,epa_vs_man,epa_vs_zone,separation_avg_yards,epa_per_target_deep,epa_per_target_short,cfbd_player_id,pff_player_game_count,pff_avg_depth_of_target,pff_avoided_tackles,pff_caught_percent,pff_contested_catch_rate,pff_contested_receptions,pff_contested_targets,pff_declined_penalties,pff_drop_rate,pff_drops,pff_first_downs,pff_franchise_id,pff_fumbles,pff_grades_hands_drop,pff_grades_hands_fumble,pff_grades_offense,pff_grades_pass_block,pff_grades_pass_route,pff_inline_rate,pff_inline_snaps,pff_interceptions,pff_longest,pff_pass_block_rate,pff_pass_blocks,pff_pass_plays,pff_penalties,pff_receptions,pff_route_rate,pff_routes,pff_slot_rate,pff_slot_snaps,pff_targeted_qb_rating,pff_targets,pff_touchdowns,pff_wide_rate,pff_wide_snaps,pff_yards,pff_yards_after_catch,pff_yards_after_catch_per_reception,pff_yards_per_reception,pff_yprr
2019,246044,Tyler Johnson,135,Minnesota,Big Ten,WR,,,,110,83.0,1268,15.27710843373494,12.0,,0.0,,,,,,,0.7545454545454545,,11.527272727272727,0.109090909090909,,,,133.92641631257123,1.2175128755688294,99.5203435044894,0.9047303954953582,0.6818181818181818,0.1636363636363636,,,,,,,,,,,246044,13.0,11.0,10.0,73.1,66.7,16.0,24.0,0.0,6.5,6.0,60.0,225.0,2.0,76.2,39.0,91.5,,92.2,0.0,0.0,2.0,73.0,0.0,0.0,384.0,1.0,87.0,94.3,362.0,86.2,331.0,138.5,119.0,13.0,13.8,53.0,1317.0,464.0,5.3,15.1,3.64
2019,3116074,Rodney Smith,135,Minnesota,Big Ten,RB,,,,11,7.0,70,10.0,0.0,,0.0,,,,,,,0.6363636363636364,,6.363636363636363,0.0,,,,2.746767056625112,0.2497060960568283,3.345064048313154,0.3040967316648322,0.5454545454545454,0.0909090909090909,,,,,,,,,,,3116074,13.0,4.9,1.0,70.0,33.3,1.0,3.0,0.0,0.0,0.0,3.0,225.0,0.0,78.5,87.0,84.3,63.3,61.5,0.0,0.0,0.0,20.0,30.7,58.0,189.0,0.0,7.0,65.6,124.0,0.0,0.0,89.6,10.0,0.0,6.9,13.0,70.0,47.0,6.7,10.0,0.56
2019,3116684,Thomas Jackson,97,Louisville,ACC,WR,,,,3,3.0,19,6.333333333333333,0.0,,0.0,,,,,,,1.0,,6.333333333333333,0.0,,,,1.8493963740840649,0.6164654580280216,1.543685489736287,0.5145618299120956,0.6666666666666666,0.0,,,,,,,,,,,3116684,5.0,1.3,0.0,75.0,,0.0,0.0,0.0,25.0,1.0,2.0,210.0,0.0,39.5,64.1,58.1,,56.1,0.0,0.0,0.0,9.0,0.0,0.0,61.0,0.0,3.0,100.0,61.0,96.7,59.0,84.4,4.0,0.0,1.6,1.0,19.0,20.0,6.7,6.3,0.31
2019,3120945,Joey Banks,2084,Buffalo,Mid-American,S,,,,4,3.0,27,9.0,0.0,,0.0,,,,,,,0.75,,6.75,0.0,,,,1.9429564500206409,0.4857391125051602,2.3139485752822275,0.5784871438205569,0.75,0.0,,,,,,,,,,,3120945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3122128,Nick Harvey,249,North Texas,Conference USA,DB,,,,1,1.0,4,4.0,0.0,,0.0,,,,,,,1.0,,4.0,0.0,,,,-0.0132133886312484,-0.0132133886312484,-0.1331950045660708,-0.1331950045660708,0.0,0.0,,,,,,,,,,,3122128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3122413,Nick Basquine,201,Oklahoma,Big 12,WR,,,,21,17.0,251,14.764705882352942,0.0,,0.0,,,,,,,0.8095238095238095,,11.952380952380953,0.0,,,,20.539476694428497,0.9780703187823094,20.241665027812125,0.9638888108481964,0.7619047619047619,0.1428571428571428,,,,,,,,,,,3122413,14.0,13.0,4.0,70.4,25.0,1.0,4.0,0.0,0.0,0.0,13.0,261.0,0.0,85.5,70.2,69.7,,65.4,0.5,1.0,3.0,70.0,0.0,0.0,190.0,1.0,19.0,93.7,178.0,72.1,137.0,75.9,27.0,1.0,26.3,50.0,275.0,95.0,5.0,14.5,1.54
2019,3122552,Jonathan Haden,5,UAB,Conference USA,RB,,,,2,2.0,9,4.5,0.0,,0.0,,,,,,,1.0,,4.5,0.0,,,,0.6582685509238373,0.3291342754619186,0.1008188943918944,0.0504094471959472,0.5,0.0,,,,,,,,,,,3122552,11.0,8.0,1.0,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,73.1,60.0,62.3,71.9,54.3,0.0,0.0,1.0,31.0,56.3,58.0,103.0,0.0,3.0,42.7,44.0,2.9,3.0,45.8,5.0,0.0,1.9,2.0,40.0,13.0,4.3,13.3,0.91
2019,3122790,Darius Wade,189,Bowling Green,Mid-American,QB,,,,1,1.0,2,2.0,1.0,,0.0,,,,,,,1.0,,2.0,1.0,,,,3.170645314282765,3.170645314282765,2.067936525322223,2.067936525322223,1.0,0.0,,,,,,,,,,,3122790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3123854,Aston Walter,242,Rice,Conference USA,RB,,,,14,11.0,48,4.363636363636363,2.0,,0.0,,,,,,,0.7857142857142857,,3.4285714285714284,0.1428571428571428,,,,6.49512355569209,0.4639373968351493,1.551481850543779,0.1108201321816985,0.5714285714285714,0.0,,,,,,,,,,,3123854,11.0,-1.4,3.0,84.6,50.0,1.0,2.0,1.0,8.3,1.0,2.0,275.0,0.0,64.6,58.6,77.2,90.8,60.3,0.0,0.0,0.0,13.0,54.8,103.0,188.0,1.0,11.0,43.6,82.0,2.1,4.0,121.6,13.0,2.0,4.8,9.0,48.0,72.0,6.5,4.4,0.59
2019,3124114,Cortez Lewis,2261,Hampton,Big South,WR,,,,1,1.0,4,4.0,0.0,,0.0,,,,,,,1.0,,4.0,0.0,,,,-0.0132133886312484,-0.0132133886312484,-0.1369390380115582,-0.1369390380115582,0.0,0.0,,,,,,,,,,,3124114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
