season,pff_player_id,cfbd_player_id,pff_team_name,cfbd_team_id,name_pff,name_cfbd,position_pff,position_cfbd,match_method,match_score
2019,10116,4242274,NWESTERN,77,JR Pace,JR Pace,S,DB,exact_name,100
2019,12659,4039034,SMU,2567,Shane Buechele,Shane Buechele,QB,QB,exact_name,100
2019,12740,4047834,ARIZONA ST,9,Cohl Cabral,Cohl Cabral,C,OL,exact_name,100
2019,12744,4034781,MINNESOTA,135,Kamal Martin,Kamal Martin,LB,LB,exact_name,100
2019,13094,3917006,TULSA,202,Reggie Robinson II,Reggie Robinson II,CB,CB,exact_name,100
2019,13602,3843640,LSU,99,Lanard Fournette,Lanard Fournette,HB,RB,exact_name,100
2019,13634,3917957,KANSAS,2305,Carter Stanley,Carter Stanley,QB,QB,exact_name,100
2019,13641,3925343,KANSAS,2305,Daylon Charlot,Daylon Charlot,WR,WR,exact_name,100
2019,13750,3910544,UCLA,26,Joshua Kelley,Joshua Kelley,HB,RB,exact_name,100
2019,13787,3915299,BOSTON COL,103,Tanner Karafa,Tanner Karafa,DI,DL,exact_name,100
2019,13811,3932063,DOMINION,295,Terez Dickerson,Terez Dickerson,LB,LB,exact_name,100
2019,13817,3699587,NEBRASKA,158,Tyrin Ferguson,Tyrin Ferguson,ED,LB,exact_name,100
2019,13821,3929955,MIAMI FL,2390,Trevon Hill,Trevon Hill,ED,DL,exact_name,100
2019,13851,3925359,FLORIDA ST,52,Adonis Thomas,Adonis Thomas,ED,LB,exact_name,100
2019,14095,4362071,UTEP,2638,Chris Richardson,Chris Richardson,DI,DL,exact_name,100
2019,14213,3915346,MIAMI OH,193,Maurice Thomas,Maurice Thomas,HB,RB,exact_name,100
2019,14214,3916584,BUFFALO,2084,Evin Ksiezarczyk,Evin Ksiezarczyk,T,OL,exact_name,100
2019,14471,3922149,TEXAS ST,326,Anthony J. Taylor,Anthony J. Taylor,CB,CB,exact_name,100
2019,14977,4032601,UTSA,2636,Ladarian McFarland,Ladarian McFarland,LB,LB,exact_name,100
2019,17287,3124900,OREGON ST,204,Jake Luton,Jake Luton,QB,QB,exact_name,100
2019,21456,4046540,MICHIGAN,130,Tru Wilson,Tru Wilson,HB,RB,exact_name,100
2019,21585,3917215,CLEMSON,228,J.L. Banks,J.L. Banks,TE,TE,exact_name,100
2019,21749,3931765,MARSHALL,276,Marquis Couch,Marquis Couch,ED,DL,exact_name,100
2019,22522,4069108,TEMPLE,218,Anthony Cruz,Anthony Cruz,S,S,exact_name,100
2019,22838,4035913,TEXAS A&M,245,Ryan Renick,Ryan Renick,TE,TE,exact_name,100
2019,22869,4035896,KANSAS,2305,Evan Fairs,Evan Fairs,WR,WR,exact_name,100
2019,22974,4050989,HAWAII,62,Cortez Davis,Cortez Davis,CB,DB,exact_name,100
2019,23029,4035910,KANSAS,2305,Chris Hughes,Chris Hughes,G,OL,exact_name,100
2019,23093,4035902,KANSAS,2305,Dru Prox,Dru Prox,LB,LB,exact_name,100
2019,23226,4035912,KANSAS,2305,Kwamie Lassiter II,Kwamie Lassiter II,WR,WR,exact_name,100
2019,23503,3916566,MIAMI FL,2390,K.J. Osborn,K.J. Osborn,WR,WR,exact_name,100
2019,23619,3918033,UTAH ST,328,Dalton Baker,Dalton Baker,ED,DE,exact_name,100
2019,23788,4028215,USC,30,Quincy Jountti,Quincy Jountti,HB,RB,exact_name,100
2019,24251,4035602,FLORIDA ST,52,Dontavious Jackson,Dontavious Jackson,LB,LB,exact_name,100
2019,24688,4051467,SMU,2567,Beau Morris,Beau Morris,T,OL,exact_name,100
2019,24705,4028090,HAWAII,62,Mason Vega,Mason Vega,ED,DL,exact_name,100
2019,24735,4027860,TEXAS ST,326,Gresch Jensen,Gresch Jensen,QB,QB,exact_name,100
2019,24901,4362119,BOWL GREEN,189,Nate Needham,Nate Needham,K,PK,exact_name,100
2019,25441,4038746,AKRON,2006,Shawn Featherstone,Shawn Featherstone,S,DB,exact_name,100
2019,25449,3925350,ALABAMA,333,Anfernee Jennings,Anfernee Jennings,ED,LB,exact_name,100
2019,25451,4040963,ALABAMA,333,Shyheim Carter,Shyheim Carter,CB,DB,exact_name,100
2019,25506,3893630,MEMPHIS,235,Brady White,Brady White,QB,QB,exact_name,100
2019,25508,3893622,ARIZONA ST,9,Steven Miller,Steven Miller,T,OL,exact_name,100
2019,25510,3675585,TULANE,2655,Malik Lawal,Malik Lawal,LB,LB,exact_name,100
2019,25511,3128812,ARIZONA ST,9,Tyler Whiley,Tyler Whiley,S,LB,exact_name,100
2019,25512,4039607,ARIZONA,12,J.J. Taylor,J.J. Taylor,HB,RB,exact_name,100
2019,25516,4035582,ARKANSAS,8,Hayden Johnson,Hayden Johnson,TE,TE,exact_name,100
2019,25517,4035600,ARKANSAS,8,Devwah Whaley,Devwah Whaley,HB,RB,exact_name,100
2019,25518,3916905,ARKANSAS,8,Colton Jackson,Colton Jackson,T,OL,exact_name,100
2019,25521,4035569,ARKANSAS,8,Austin Capps,Austin Capps,G,OL,exact_name,100
2019,25522,3917166,ARK STATE,2032,Omar Bayless,Omar Bayless,WR,WR,exact_name,100
2019,25577,3916943,AUBURN,2,Mike Horton,Mike Horton,G,OL,exact_name,100
2019,25582,3928925,BAYLOR,239,JaMycal Hasty,JaMycal Hasty,HB,RB,exact_name,100
2019,25631,4035409,TULSA,202,Zach Smith,Zach Smith,QB,QB,exact_name,100
2019,25636,4035390,BAYLOR,239,Jared Atkinson,Jared Atkinson,WR,WR,exact_name,100
2019,25642,3928926,BAYLOR,239,Jameson Houston,Jameson Houston,CB,CB,exact_name,100
2019,25643,3928924,BAYLOR,239,Cody George,Cody George,TE,TE,exact_name,100
2019,25644,4035407,BAYLOR,239,Bravvion Roy,Bravvion Roy,DI,DT,exact_name,100
2019,25685,3928928,BAYLOR,239,Clay Johnston,Clay Johnston,LB,LB,exact_name,100
2019,25686,4035402,BAYLOR,239,Chris Miller,Chris Miller,S,S,exact_name,100
2019,25687,3928920,BAYLOR,239,Henry Black,Henry Black,S,S,exact_name,100
2019,25701,3129436,BOWL GREEN,189,David Konowalski,David Konowalski,ED,DL,exact_name,100
2019,25704,3914398,BOWL GREEN,189,Antonyo Sotolongo,Antonyo Sotolongo,S,DB,exact_name,100
2019,25705,3916587,MARYLAND,120,Tyler Mabry,Tyler Mabry,TE,TE,exact_name,100
2019,25962,4040867,COLORADO,38,Beau Bisharat,Beau Bisharat,TE,TE,exact_name,100
2019,26004,3908602,APP STATE,2026,Willie Edwards,Willie Edwards,CB,DB,exact_name,100
2019,26025,3915435,COLORADO,38,Tim Lynott,Tim Lynott,C,C,exact_name,100
2019,26083,3917800,DUKE,150,Zach Baker,Zach Baker,G,G,exact_name,100
2019,26084,3917793,DUKE,150,Quentin Harris,Quentin Harris,QB,QB,exact_name,100
2019,26090,3917789,DUKE,150,Aaron Young,Aaron Young,WR,WR,exact_name,100
2019,26138,4036043,DUKE,150,Tre Hornbuckle,Tre Hornbuckle,ED,DE,exact_name,100
2019,26142,3917802,DUKE,150,Trevon McSwain,Trevon McSwain,DI,DT,exact_name,100
2019,26143,3917791,UCF,2116,Jordan Hayes,Jordan Hayes,S,S,exact_name,100
2019,26145,4036041,DUKE,150,Koby Quansah,Koby Quansah,LB,LB,exact_name,100
2019,26147,4036031,DUKE,150,Dylan Singleton,Dylan Singleton,S,S,exact_name,100
