player_name,position,year,school_transferred_from,school_transferred_to,transfer_rating_247,transfer_rating_on3,hs_rating_247,hs_stars_247,hs_rating_rivals,hs_stars_rivals,hs_graduation_year
Clayton Bush,S,2023.0,Southern Illinois,Illinois,,84.0,82.0,,,,2019.0
Demetrius Hill,S,2023.0,FIU,Illinois,,85.0,85.0,,,,2021.0
Denzel Daxon,DL,2023.0,Ohio,Illinois,,84.0,,,,,2018.0
Fabrizio Pinton,K,2022.0,Air Force,Illinois,,79.3,,,,,2019.0
John Paddock,QB,2023.0,Ball State,Illinois,,85.0,,,,,2018.0
Luke Altmyer,QB,2023.0,Ole Miss,Illinois,0.91,87.0,90.0,,,,2021.0
Nicario Harper,S,2023.0,Louisville,Illinois,,86.0,,,,,2018.0
Tanner Arkin,TE,2023.0,Colorado State,Illinois,0.86,85.0,82.0,,,,2021.0
TeRah Edwards,DL,2022.0,Northwestern,Illinois,0.87,84.73,87.0,3-star,,3-star,2020.0
Tommy DeVito,QB,2022.0,Syracuse,Illinois,0.9,84.67,90.0,4-star,,4-star,2017.0
Andre Carter,DL,2023.0,Western Michigan,Indiana,0.93,82.2,83.0,,,,2018.0
Christian Turner,RB,2023.0,Wake Forest,Indiana,0.88,87.0,87.0,,,,2019.0
Connor Bazelak,QB,2022.0,Missouri,Indiana,0.9,89.06,86.0,3-star,,3-star,2019.0
DeQuece Carter,WR,2023.0,Fordham,Indiana,0.9,89.57,78.0,,,,2019.0
Emery Simmons,WR,2022.0,North Carolina,Indiana,0.88,87.53,90.0,4-star,,4-star,2019.0
Jacob Mangum-Farrar,LB,2023.0,Stanford,Indiana,0.89,,86.0,,,,2018.0
Jamier Johnson,CB,2023.0,Texas,Indiana,,,,,,,2021.0
Jamison Kelly,S,2023.0,Jones College,Indiana,,,,,,,2020.0
Jonathan Haynes,S,2022.0,Ole Miss,Indiana,0.81,90.28,,,,,2017.0
Josh Henderson,RB,2022.0,North Carolina,Indiana,0.85,,87.89,3-star,,3-star,2019.0
LeDarrius Cox,DL,2022.0,Ole Miss,Indiana,,87.73,,,,,2019.0
Marcus Burris Jr.,DL,2023.0,Texas A&M,Indiana,,89.09,92.0,,,,2021.0
Max Longman,IOL,2023.0,UMass,Indiana,,,79.0,,,,2019.0
Nicolas Toomer,DB,2023.0,Stanford,Indiana,0.87,,86.0,,,,2019.0
Phillip Blidi,DL,2023.0,Texas Tech,Indiana,,86.0,87.0,,,,2020.0
