player_name,position,year,school_transferred_from,school_transferred_to,transfer_rating_247,transfer_rating_on3,hs_rating_247,hs_stars_247,hs_rating_rivals,hs_stars_rivals,hs_graduation_year
Fabrizio Pinton,K,2022,Air Force,Illinois,,79.3,75.0,,,,2019.0
TeRah Edwards,DL,2022,Northwestern,Illinois,0.87,84.73,87.0,3-star,,3-star,2020.0
Tommy DeVito,QB,2022,Syracuse,Illinois,0.9,84.67,90.0,4-star,,4-star,2017.0
Connor Bazelak,QB,2022,Missouri,Indiana,0.9,89.06,86.0,3-star,,3-star,2019.0
Emery Simmons,WR,2022,North Carolina,Indiana,0.88,87.53,90.0,4-star,,4-star,2019.0
Jonathan Haynes,S,2022,Ole Miss,Indiana,0.81,90.28,,,,,2017.0
Josh Henderson,RB,2022,North Carolina,Indiana,0.85,,87.89,3-star,,3-star,2019.0
LeDarrius Cox,DL,2022,Ole Miss,Indiana,,87.73,,,,,2019.0
Shaun Shivers,RB,2022,Auburn,Indiana,0.9,,88.0,4-star,,4-star,2018.0
Steven Stilianos,TE,2022,Lafayette,Iowa,0.87,,,,,,2018.0
Billy Edwards Jr.,QB,2022,Wake Forest,Maryland,0.82,81.17,82.0,3,,3,2021.0
Chad Ryland,K,2022,Eastern Michigan,Maryland,,,,,,,
Chantz Harley,ATH,2022,Villanova,Maryland,,,,,,,
Henry Chibueze,DL,2022,Liberty,Maryland,0.8,80.0,80.0,3,,3,2018.0
Jacob Copeland,WR,2022,Florida,Maryland,0.9,94.86,95.0,4,6.0,4,2018.0
Quashon Fuller,EDGE,2022,Florida State,Maryland,0.92,91.85,92.0,4,5.8,4,2019.0
VanDarius Cowan,LB,2022,West Virginia,Maryland,0.95,94.67,95.0,4,6.0,4,2017.0
Cam Goode,DL,2022,UCF,Michigan,0.86,,86.0,3,,3,2018.0
Eyabi Okie-Anoma,EDGE,2022,UT Martin,Michigan,0.89,,,5,,5,2018.0
Olusegun 'Olu' Oluwatimi,IOL,2022,Virginia,Michigan,0.94,,,,,,
Aaron Brule,LB,2022,Mississippi State,Michigan State,0.89,88.07,87.0,3,,4,2018.0
Ameer Speed,CB,2022,Georgia,Michigan State,0.87,89.0,88.0,3,,3,2017.0
Brian Greene,IOL,2022,Washington State,Michigan State,,,,,,,2017.0
Daniel Barker,TE,2022,Illinois,Michigan State,,,,3,,3,2018.0
Jalen Berger,RB,2022,Wisconsin,Michigan State,0.85,,91.0,4,,4,2020.0
Jarek Broussard,RB,2022,Colorado,Michigan State,0.89,88.48,84.0,3,5.5,3,2018.0
Khris Bogle,EDGE,2022,Florida,Michigan State,0.9,,96.0,4,,4,2019.0
Beanie Bishop,CB,2022,Western Kentucky,Minnesota,0.88,,70.0,2-star,,,2018.0
Chuck Filiaga,IOL,2022,Michigan,Minnesota,0.88,,95.0,4-star,,4-star,2017.0
Darnell Jefferies,DL,2022,Clemson,Minnesota,0.88,,88.0,3-star,,3-star,2018.0
Jacob Lewis,K,2022,Ball State,Minnesota,,,,,,,2019.0
Kyler Baugh,DL,2022,Houston Christian,Minnesota,,,,,,,2019.0
Lorenza Surgers,DL,2022,Vanderbilt,Minnesota,0.81,,84.0,3-star,,,2018.0
Quinn Carroll,OT,2022,Notre Dame,Minnesota,0.88,,97.0,4-star,6.0,4-star,2019.0
Ryan Stapp,CB,2022,Abilene Christian,Minnesota,0.88,,76.0,3-star,,,2019.0
Brian Buschini,P,2022,Montana,Nebraska,,,,,,,
Casey Thompson,QB,2022,Texas,Nebraska,0.89,90.01,88.0,3-star,,,2018.0
Chubba Purdy,QB,2022,Florida State,Nebraska,0.91,91.53,91.0,4-star,,,2020.0
Devin Drew,DL,2022,Texas Tech,Nebraska,0.83,82.65,,,,,
Hunter Anthony,OT,2022,Oklahoma State,Nebraska,0.85,,,,,,
Isaiah Garcia-Castaneda,WR,2022,New Mexico State,Nebraska,0.87,,,,,,
Kaine Williams,S,2022,Alabama,Nebraska,0.89,,,,,,
Kevin Williams,IOL,2022,Northern Colorado,Nebraska,,,,,,,
Marcus Washington,WR,2022,Texas,Nebraska,0.9,92.6,90.0,4-star,,,2019.0
Ochaun Mathis,EDGE,2022,TCU,Nebraska,0.94,85.9,86.0,3-star,,,2018.0
Omar Brown,CB,2022,Northern Iowa,Nebraska,0.89,,84.0,,,,2019.0
Stephon Wynn,DL,2022,Alabama,Nebraska,0.95,94.46,95.0,4-star,,,2018.0
Timmy Bleekrode,K,2022,Furman,Nebraska,,,,,,,
Tommi Hill,CB,2022,Arizona State,Nebraska,0.9,,,,,,
Trey Palmer,WR,2022,LSU,Nebraska,0.89,94.46,,,6.1,4-star,2019.0
Donny Navarro,WR,2022,Illinois,Northwestern,,,,,,,
Jaylen Pate,EDGE,2022,Wyoming,Northwestern,0.8,,,,,,
Luke Akers,P,2022,UCLA,Northwestern,0.84,81.8,80.0,,,3-star,2020.0
Ryan Johnson,DL,2022,Stanford,Northwestern,0.82,,,,,,
Taishan Holmes,DL,2022,UMass,Northwestern,0.82,,,,,,
